plate_barcode,well_description,image_description,object_description,pattern_description,channel_description,Intensity_first_quartile,Intensity_integrated,Intensity_maximum,Intensity_mean,Intensity_median,Intensity_median_absolute_deviation,Intensity_minimum,Intensity_standard_deviation,Intensity_third_quartile
110000106828,A08,16,644,Cells,Alexa568,-0.449499536529504,-0.524235885156873,-0.389975535943626,-0.531285267628678,-0.542047982796626,-0.598717453225382,-0.683945683760654,-0.452298750993544,-0.598175026367142
110000106828,A08,16,490,Cells,Alexa568,-0.570917461140125,-0.381132712746623,-0.479003351045324,-0.642115456411293,-0.648503001204306,-0.671415360950632,-0.299209982827429,-0.541690255029003,-0.664510584437697
110000106828,A08,16,597,Cells,Alexa568,-0.488709178840769,-0.340474321208967,-0.40096070083037,-0.464294083731163,-0.585573895793569,-0.592583614198462,-0.384434577380102,-0.368162142298058,-0.470709126434086
110000106828,A08,16,143,Cells,Alexa568,-0.390770091242449,-0.468162513995683,-0.475419934001559,-0.48581403937955,-0.521909288857141,-0.571634450874337,0.0173936626988635,-0.480291743303014,-0.511801097471473
