plate_barcode,well_description,image_description,object_description,pattern_description,channel_description,Intensity_first_quartile,Intensity_integrated,Intensity_maximum,Intensity_mean,Intensity_median,Intensity_median_absolute_deviation,Intensity_minimum,Intensity_standard_deviation,Intensity_third_quartile
110000106828,A01,1,476,Cells,Alexa568,0.883142571307995,0.688219151882125,1.0481241923646,1.01130100380503,0.84401204220177,0.811744558082842,1.45720517700941,1.16184899340753,0.865773443385879
110000106828,A01,1,383,Cells,Alexa568,0.308721258915061,2.2432342989562,1.5400615595469,0.712415510211653,0.528016112063148,0.603893636239591,-0.426785792598021,1.20170840885052,0.462803406507974
110000106828,A01,1,413,Cells,Alexa568,-0.0130869430634482,-0.0762632994601083,2.95435026206335,0.118583689318185,0.222072005093206,0.344228779217363,0.458195102256605,0.127436311779329,0.187024498876507
110000106828,A01,1,324,Cells,Alexa568,-0.0691638190147601,-0.385022636628908,-0.0304028376777368,-0.350797206733416,-0.239512629600211,-0.310672683979302,0.507092579776531,-0.284863431542078,-0.342437090560051
110000106828,A01,1,337,Cells,Alexa568,0.206795735449085,-0.12335257100217,-0.321012747533109,-0.187808248220888,-0.0133091115028305,-0.159497563918311,0.284872654843507,-0.371062239248169,-0.163459096693516
110000106828,A01,1,66,Cells,Alexa568,-0.228821811000505,-0.313740207316729,-0.153209999073624,-0.290407857075166,-0.23982608394613,-0.2022450537473,-0.113736329368167,-0.239868302846213,-0.262601393601833
110000106828,A01,1,312,Cells,Alexa568,-0.155792801063875,0.113519384846905,-0.479711675361405,-0.2901281241649,-0.169867772204825,-0.150148979436481,-0.796172881314045,-0.394178261201489,-0.235299363350655
110000106828,A01,1,268,Cells,Alexa568,0.491725663417532,0.615810656188009,-0.157205804385233,0.0867108363739281,0.100701189541375,-0.112590361350839,1.00685888893026,-0.0520859001195963,0.000510646806302594
110000106828,A01,1,236,Cells,Alexa568,-0.207154309479486,0.347598912401275,-0.0732012203047069,-0.288762503085128,-0.234146382640873,-0.189992854256255,-0.378320402870581,-0.192380515546749,-0.2446098690516
110000106828,A01,1,486,Cells,Alexa568,0.543472958578511,0.0499591362089486,0.147237016816611,0.331350200930837,0.598179644564082,0.538992973749836,0.701956420836711,0.140095545756375,0.282681218823114
110000106828,A01,1,445,Cells,Alexa568,-0.04455149496266,0.0602281848173208,-0.228461355011357,-0.0478012385861363,-0.0104624814704344,0.0702185888057645,-0.0618728720180996,-0.0811618764163636,-0.0131885759738353
110000106828,A01,1,299,Cells,Alexa568,0.327705044378089,1.05511487689104,-0.193034067799242,-0.0188895751304468,0.0649031213821343,-0.0672564623680107,0.59530116236462,-0.135734412956955,-0.043285282231094
110000106828,A01,1,456,Cells,Alexa568,-0.0451036324354939,0.279987113395625,-0.0129734224166704,0.0849699519651227,-0.0148363638704648,0.0925614428423296,0.0692519623448815,0.154157554334379,0.151084339880472
110000106828,A01,1,125,Cells,Alexa568,-0.104982137280642,0.0235046965595731,0.560818498080342,0.30093291444071,0.0859911967257433,0.215760424512705,-0.161872847788877,0.575045291413541,0.325835740234025
110000106828,A01,1,474,Cells,Alexa568,0.7225723542497,1.9938485553731,1.91506181687369,0.863186349047512,0.527743885805815,0.448649120738069,0.960939344323332,1.55203009507359,0.391853711213496
110000106828,A01,1,310,Cells,Alexa568,-0.107198854139737,0.768296981872643,0.295347269919754,-0.039836598920109,-0.078119509100644,-0.024620209470329,-0.0308885429135462,0.130215558544895,-0.0712336468137983
110000106828,A01,1,123,Cells,Alexa568,0.261759176207107,-0.341249969980137,-0.435701431836053,-0.0179797076957596,0.0687400926705741,0.0755875265858375,0.351455687620071,-0.262627331530682,0.112761342449469
110000106828,A01,1,242,Cells,Alexa568,-0.226876637936231,1.20906207079617,0.75125525753527,0.288797118271775,-0.032251591980007,0.109613268428791,0.0239830531129583,0.754698831273559,0.242455525848044
110000106828,A01,1,52,Cells,Alexa568,-0.395414141968671,-0.522107213886615,0.362086430050466,-0.0475907684326153,-0.201521983896148,-0.0316280190863478,-0.0607431441599135,0.246453594885995,-0.0338143860532902
110000106828,A01,1,301,Cells,Alexa568,-0.301736972145264,-0.025653321681255,-0.259420681502531,-0.0892341388195768,-0.158662639899021,-0.00843660719617089,-0.600646774852297,-0.045890502721453,0.0742855040228179
110000106828,A01,1,523,Cells,Alexa568,-0.370629617874358,0.965226322376941,0.962187441719843,-0.00529425630942963,-0.168740398136814,-0.0448809997902478,-0.32461019421902,0.620830802653495,-0.156389676089586
110000106828,A01,1,215,Cells,Alexa568,-0.109154243796884,0.163744679488202,-0.539098023363877,-0.218793214200673,-0.107182053247495,-0.0545054525306116,-0.663034517838078,-0.436672419123087,-0.0217660105924931
110000106828,A01,1,487,Cells,Alexa568,4.25295890582056,2.20938882994243,3.55303829668157,4.68130266485871,7.29105599777542,4.84543464934173,1.26769615554127,3.86730775619752,3.82564460542062
110000106828,A01,1,70,Cells,Alexa568,-0.170089945275483,-0.1585533700964,0.253706735733759,0.0444902125251561,-0.136414502315188,-0.0745848891944839,-0.621686785131948,0.325927848463822,0.0516246150577769
110000106828,A01,1,480,Cells,Alexa568,-0.272723929545051,3.07388920179663,2.16374494047552,0.71463870310542,0.120207724925877,0.359890795333315,-0.224083959746217,1.68648079569346,0.505059354517557
110000106828,A01,1,190,Cells,Alexa568,-0.39087570437929,2.88223562461324,0.125429801164024,-0.295627690121326,-0.333598543720907,-0.230643481107592,-0.262437687488749,-0.0334815489199051,-0.229913909043588
110000106828,A01,1,126,Cells,Alexa568,0.570799821897038,-0.154981067249002,0.821192318018929,0.269179387722044,0.275896128734378,0.172542401795396,0.883395819150826,0.378241547321087,0.119451149630293
110000106828,A01,1,77,Cells,Alexa568,-0.132430306873183,-0.718244878782371,-0.525717867603534,-0.205769392388702,-0.247590943786559,-0.192932756719008,0.00250546308383238,-0.314564200144695,-0.0303306501775987
110000106828,A01,1,481,Cells,Alexa568,1.3147067160681,0.558035924658032,0.782273481331421,0.835469451154535,0.847480036549528,0.691830912021641,-0.860009451011865,0.831432418034972,0.558919431131677
110000106828,A01,1,122,Cells,Alexa568,-0.214245271353258,0.55419837059569,-0.240432441598595,-0.0794379212653821,-0.0585941859001185,0.0658837431175545,-0.115926651037742,-0.0647092509315465,0.0370816606117607
110000106828,A01,1,482,Cells,Alexa568,-0.417579434364327,1.33743616151913,-0.330591096213877,-0.30400405225224,-0.274112481800535,-0.121542024635811,-0.387018855099803,-0.319703149632495,-0.132525087143345
