plate_barcode,well_description,image_description,object_description,pattern_description,AreaShape_compactness
110000106828,A01,1,265,Cells,1.99099748805011
110000106828,A01,1,95,Cells,2.05948773775408
110000106828,A01,1,153,Cells,1.15730998900949
110000106828,A01,1,270,Cells,1.79814550918586
110000106828,A01,1,533,Cells,1.08639940200818
110000106828,A01,1,119,Cells,1.26140269656781
110000106828,A01,1,343,Cells,1.42566366093402
110000106828,A01,1,211,Cells,1.14056218350978
110000106828,A01,1,129,Cells,1.28596606166117
110000106828,A01,1,490,Cells,1.50924826024926
110000106828,A01,1,121,Cells,1.11446917645998
110000106828,A01,1,409,Cells,1.54107489268473
110000106828,A01,1,264,Cells,1.36019693417236
110000106828,A01,1,64,Cells,1.14728686261989
110000106828,A01,1,240,Cells,1.47423522418076
110000106828,A01,1,4,Cells,1.70142834516592
110000106828,A01,1,274,Cells,1.0823183361226
110000106828,A01,1,422,Cells,1.18842595160881
110000106828,A01,1,446,Cells,1.07442894925473
110000106828,A01,1,401,Cells,1.48365825546604
110000106828,A01,1,288,Cells,1.0688793138459
110000106828,A01,1,72,Cells,1.32845269584631
110000106828,A01,1,27,Cells,1.26711574107583
110000106828,A01,1,327,Cells,1.16895158214245
110000106828,A01,1,449,Cells,1.27651497123737
110000106828,A01,1,467,Cells,1.84353787189302
110000106828,A01,1,417,Cells,1.17831541025884
110000106828,A01,1,498,Cells,1.18480372045449
110000106828,A01,1,178,Cells,1.51260180158767
110000106828,A01,1,84,Cells,1.04687810290742
110000106828,A01,1,51,Cells,2.03875479609008
110000106828,A01,1,163,Cells,1.39649397845614
110000106828,A01,1,499,Cells,1.04013002603258
110000106828,A01,1,241,Cells,1.21817658228697
110000106828,A01,1,330,Cells,1.0080354858501
110000106828,A01,1,448,Cells,1.07328617428596
110000106828,A01,1,358,Cells,1.36522119311386
110000106828,A01,1,534,Cells,1.49804419522151
110000106828,A01,1,405,Cells,1.19374629165747
110000106828,A01,1,54,Cells,1.16115568411056
110000106828,A01,1,46,Cells,1.14678292369767
110000106828,A01,1,231,Cells,1.20246410872609
110000106828,A01,1,416,Cells,1.29351975308164
110000106828,A01,1,524,Cells,1.64461239037124
110000106828,A01,1,166,Cells,1.2965795492042
110000106828,A01,1,172,Cells,1.32523910126834
110000106828,A01,1,32,Cells,1.63978248840283
110000106828,A01,1,124,Cells,1.06986370087751
110000106828,A01,1,98,Cells,1.8987728928538
110000106828,A01,1,429,Cells,1.96121535990938
110000106828,A01,1,332,Cells,1.24590061824249
110000106828,A01,1,517,Cells,1.11978911259946
110000106828,A01,1,136,Cells,1.10117201283216
110000106828,A01,1,418,Cells,1.13662486478436
110000106828,A01,1,518,Cells,1.44832880820911
110000106828,A01,1,38,Cells,1.35672757976091
110000106828,A01,1,376,Cells,1.35091485856294
110000106828,A01,1,116,Cells,1.19450894401827
110000106828,A01,1,156,Cells,1.42971222987912
110000106828,A01,1,475,Cells,1.15332459096634
110000106828,A01,1,21,Cells,1.19528299516806
110000106828,A01,1,18,Cells,1.10557591085639
110000106828,A01,1,441,Cells,1.21762902187419
110000106828,A01,1,208,Cells,1.10756463841891
110000106828,A01,1,188,Cells,1.44887420832545
110000106828,A01,1,512,Cells,1.42536651285051
110000106828,A01,1,94,Cells,1.08158752344228
110000106828,A01,1,511,Cells,1.18272790371147
110000106828,A01,1,531,Cells,1.07492668677886
110000106828,A01,1,396,Cells,1.1206382449183
110000106828,A01,1,214,Cells,1.70725645159452
110000106828,A01,1,102,Cells,1.01724403860764
110000106828,A01,1,316,Cells,1.11844617240976
110000106828,A01,1,8,Cells,1.22077429084066
110000106828,A01,1,34,Cells,1.09438278232396
110000106828,A01,1,447,Cells,1.13896439047103
110000106828,A01,1,280,Cells,1.70665673658953
110000106828,A01,1,338,Cells,1.80761594161826
110000106828,A01,1,149,Cells,1.70489722821791
110000106828,A01,1,53,Cells,1.10459833107927
110000106828,A01,1,159,Cells,1.27353495201081
110000106828,A01,1,76,Cells,1.62701271265637
110000106828,A01,1,368,Cells,1.22147205255456
110000106828,A01,1,90,Cells,1.56192674410339
110000106828,A01,1,506,Cells,1.17753684387554
110000106828,A01,1,115,Cells,1.25489032745717
110000106828,A01,1,192,Cells,1.30295670140767
110000106828,A01,1,148,Cells,1.01755125272611
110000106828,A01,1,142,Cells,1.02586078661926
110000106828,A01,1,478,Cells,1.59008591637939
110000106828,A01,1,40,Cells,1.07685017821766
110000106828,A01,1,173,Cells,1.30669678366399
110000106828,A01,1,117,Cells,1.70757397650763
110000106828,A01,1,428,Cells,1.1052289759627
110000106828,A01,1,493,Cells,1.35404508558975
110000106828,A01,1,438,Cells,1.74988872227534
110000106828,A01,1,359,Cells,1.51137548936266
110000106828,A01,1,20,Cells,1.27186064175208
110000106828,A01,1,36,Cells,1.32509229556135
110000106828,A01,1,462,Cells,1.37640850783698
110000106828,A01,1,314,Cells,1.02797309171115
110000106828,A01,1,114,Cells,1.04501522921417
110000106828,A01,1,497,Cells,1.26389748755906
110000106828,A01,1,488,Cells,1.05601526452028
110000106828,A01,1,351,Cells,1.26875667297856
110000106828,A01,1,507,Cells,1.72092230586377
110000106828,A01,1,450,Cells,1.21909008926273
110000106828,A01,1,367,Cells,1.13604274242502
110000106828,A01,1,132,Cells,1.78678255340524
110000106828,A01,1,101,Cells,1.2851807675097
110000106828,A01,1,175,Cells,1.23481936578381
110000106828,A01,1,253,Cells,1.30115442054826
110000106828,A01,1,131,Cells,1.65199755889315
110000106828,A01,1,228,Cells,1.3609458559007
110000106828,A01,1,112,Cells,1.01942487858259
110000106828,A01,1,489,Cells,1.35502107498619
110000106828,A01,1,104,Cells,1.08959513935074
110000106828,A01,1,303,Cells,1.36076515546575
110000106828,A01,1,24,Cells,1.08711486919962
110000106828,A01,1,262,Cells,1.16129982503782
110000106828,A01,1,494,Cells,1.21998823139785
110000106828,A01,1,390,Cells,1.28194321063428
110000106828,A01,1,107,Cells,1.32568747200063
110000106828,A01,1,279,Cells,1.43923436686877
110000106828,A01,1,485,Cells,1.39847734393041
110000106828,A01,1,250,Cells,1.26062766469239
110000106828,A01,1,195,Cells,1.1361448527974
110000106828,A01,1,309,Cells,1.03172499407473
110000106828,A01,1,457,Cells,1.34030238613807
110000106828,A01,1,540,Cells,1.55425229503921
110000106828,A01,1,205,Cells,2.86082826083162
110000106828,A01,1,399,Cells,1.24162476594654
110000106828,A01,1,113,Cells,1.77486722480718
110000106828,A01,1,442,Cells,1.29178769538779
110000106828,A01,1,105,Cells,1.2740576085426
110000106828,A01,1,199,Cells,1.33536897511337
110000106828,A01,1,537,Cells,1.13429681173222
110000106828,A01,1,150,Cells,1.9636437465441
110000106828,A01,1,183,Cells,1.18839377096557
110000106828,A01,1,452,Cells,1.57159037236138
110000106828,A01,1,85,Cells,1.06763182796852
110000106828,A01,1,137,Cells,1.0829235470287
110000106828,A01,1,392,Cells,1.4528287576949
110000106828,A01,1,201,Cells,1.25387640344627
110000106828,A01,1,509,Cells,1.59448398821639
110000106828,A01,1,414,Cells,2.31502897241843
110000106828,A01,1,93,Cells,1.18001498412342
110000106828,A01,1,267,Cells,1.08688220475544
110000106828,A01,1,393,Cells,1.05725599374896
110000106828,A01,1,48,Cells,1.88658108104241
110000106828,A01,1,361,Cells,1.05925706730018
110000106828,A01,1,538,Cells,1.12645832227324
110000106828,A01,1,344,Cells,1.4478449873666
110000106828,A01,1,176,Cells,1.19461142611629
110000106828,A01,1,49,Cells,1.36797037993506
110000106828,A01,1,232,Cells,1.38962547552306
110000106828,A01,1,25,Cells,1.26440563296413
110000106828,A01,1,317,Cells,1.15187303128885
110000106828,A01,1,468,Cells,1.0750869294015
110000106828,A01,1,439,Cells,1.02456063809349
110000106828,A01,1,169,Cells,1.13855717368553
110000106828,A01,1,170,Cells,1.33632617184038
110000106828,A01,1,141,Cells,1.48057407734109
110000106828,A01,1,111,Cells,2.32819880924121
110000106828,A01,1,432,Cells,1.41484383989704
110000106828,A01,1,216,Cells,1.32579026978492
110000106828,A01,1,244,Cells,2.14980813564802
110000106828,A01,1,375,Cells,1.37767084564602
110000106828,A01,1,65,Cells,1.1261767572871
110000106828,A01,1,263,Cells,1.76984033230814
110000106828,A01,1,12,Cells,1.35858033313247
110000106828,A01,1,251,Cells,1.10424051665901
110000106828,A01,1,395,Cells,1.17053059239526
110000106828,A01,1,404,Cells,1.21369247791349
110000106828,A01,1,526,Cells,1.14717652664671
110000106828,A01,1,333,Cells,1.05381409591298
110000106828,A01,1,295,Cells,1.32635203444101
110000106828,A01,1,289,Cells,1.29876179553238
110000106828,A01,1,57,Cells,1.97037856546721
110000106828,A01,1,379,Cells,1.15938328058426
110000106828,A01,1,147,Cells,1.14190755925752
110000106828,A01,1,82,Cells,1.65793154274689
110000106828,A01,1,350,Cells,1.48656550024486
110000106828,A01,1,80,Cells,1.09510876637157
110000106828,A01,1,322,Cells,1.12726918466604
110000106828,A01,1,425,Cells,1.58941982226984
110000106828,A01,1,145,Cells,1.23225468467204
110000106828,A01,1,313,Cells,2.08028203850161
110000106828,A01,1,179,Cells,1.19659419618375
110000106828,A01,1,239,Cells,1.13397703260953
110000106828,A01,1,501,Cells,1.30847860328164
110000106828,A01,1,528,Cells,1.14055161452781
110000106828,A01,1,106,Cells,1.26864604708062
110000106828,A01,1,298,Cells,1.17593330646434
110000106828,A01,1,388,Cells,1.21032269836731
110000106828,A01,1,167,Cells,1.24907553537785
110000106828,A01,1,292,Cells,1.42585982584615
110000106828,A01,1,521,Cells,1.10437455695745
110000106828,A01,1,223,Cells,1.27034096375087
110000106828,A01,1,386,Cells,1.04483819870288
110000106828,A01,1,271,Cells,1.27483542697805
110000106828,A01,1,61,Cells,1.64467935280394
110000106828,A01,1,16,Cells,1.53184302464418
110000106828,A01,1,495,Cells,2.36215574962381
110000106828,A01,1,217,Cells,1.2650026660841
110000106828,A01,1,397,Cells,1.31314474626851
110000106828,A01,1,140,Cells,1.33282269976019
110000106828,A01,1,2,Cells,1.15995296755709
110000106828,A01,1,127,Cells,1.45982130142514
110000106828,A01,1,500,Cells,1.43481906283352
110000106828,A01,1,23,Cells,1.56145722103817
110000106828,A01,1,460,Cells,1.51927003945624
110000106828,A01,1,226,Cells,1.23467461030275
110000106828,A01,1,371,Cells,1.48187839710437
110000106828,A01,1,222,Cells,1.17234743326604
110000106828,A01,1,260,Cells,1.05938545786204
110000106828,A01,1,1,Cells,1.05878011757976
110000106828,A01,1,291,Cells,1.12960791689585
110000106828,A01,1,158,Cells,1.17062616043667
110000106828,A01,1,339,Cells,1.09687907998834
110000106828,A01,1,31,Cells,1.62806634485504
110000106828,A01,1,290,Cells,1.23790110193093
110000106828,A01,1,373,Cells,1.09771652444703
110000106828,A01,1,349,Cells,1.02906885456815
110000106828,A01,1,541,Cells,1.05997484786854
110000106828,A01,1,453,Cells,1.82054918587589
110000106828,A01,1,510,Cells,1.22719254297545
110000106828,A01,1,15,Cells,1.74131444915219
110000106828,A01,1,164,Cells,1.39657799515122
110000106828,A01,1,130,Cells,1.12649410915303
110000106828,A01,1,342,Cells,1.5723298257431
110000106828,A01,1,55,Cells,1.64165407813667
110000106828,A01,1,472,Cells,1.13718158294688
110000106828,A01,1,335,Cells,1.08376179409042
110000106828,A01,1,424,Cells,1.37367801603155
110000106828,A01,1,41,Cells,1.13068556862564
110000106828,A01,1,78,Cells,2.61544040079287
110000106828,A01,1,238,Cells,1.23478458951876
110000106828,A01,1,198,Cells,1.12412318819263
110000106828,A01,1,435,Cells,1.36682811298294
110000106828,A01,1,219,Cells,1.15354866647113
110000106828,A01,1,463,Cells,1.20211919516481
110000106828,A01,1,403,Cells,1.70634709984922
110000106828,A01,1,275,Cells,1.37201792222235
110000106828,A01,1,193,Cells,1.0803446478411
110000106828,A01,1,385,Cells,1.02123306490554
110000106828,A01,1,133,Cells,1.67304723981556
110000106828,A01,1,477,Cells,1.51048485673385
110000106828,A01,1,410,Cells,1.16813223021052
110000106828,A01,1,177,Cells,1.2864892317244
110000106828,A01,1,56,Cells,1.73650225745107
110000106828,A01,1,525,Cells,1.06858465523776
110000106828,A01,1,245,Cells,1.06928881229963
110000106828,A01,1,234,Cells,1.18502826728344
110000106828,A01,1,246,Cells,1.084818627112
110000106828,A01,1,458,Cells,1.41479523887008
110000106828,A01,1,258,Cells,2.33479460058712
110000106828,A01,1,356,Cells,1.19328092908945
110000106828,A01,1,306,Cells,1.38800145953481
110000106828,A01,1,519,Cells,1.03692008371521
110000106828,A01,1,319,Cells,1.18967305559185
110000106828,A01,1,328,Cells,1.15160713632367
110000106828,A01,1,165,Cells,1.34444784575951
110000106828,A01,1,276,Cells,1.63450381217125
110000106828,A01,1,484,Cells,1.21078772605429
110000106828,A01,1,307,Cells,1.00387566649191
110000106828,A01,1,218,Cells,1.09290870417776
110000106828,A01,1,421,Cells,1.07826082498185
110000106828,A01,1,284,Cells,1.2066882399191
110000106828,A01,1,536,Cells,1.28870139113621
110000106828,A01,1,29,Cells,1.11172636365179
110000106828,A01,1,134,Cells,1.14129407651806
110000106828,A01,1,181,Cells,3.65662481864836
110000106828,A01,1,491,Cells,1.10832666789643
110000106828,A01,1,26,Cells,1.42153096656966
110000106828,A01,1,469,Cells,1.35476780733303
110000106828,A01,1,257,Cells,1.28525007601186
110000106828,A01,1,539,Cells,1.09649244808958
110000106828,A01,1,357,Cells,1.04356707707096
110000106828,A01,1,465,Cells,1.78668705154012
110000106828,A01,1,389,Cells,1.32079048816164
110000106828,A01,1,318,Cells,1.16215207593357
110000106828,A01,1,206,Cells,1.22818607230961
110000106828,A01,1,83,Cells,1.04171136933547
110000106828,A01,1,14,Cells,1.44522087024758
110000106828,A01,1,430,Cells,1.98692024148735
110000106828,A01,1,331,Cells,1.42581147904435
110000106828,A01,1,118,Cells,1.24940595634103
110000106828,A01,1,346,Cells,1.06000688555541
110000106828,A01,1,108,Cells,2.31626843540095
110000106828,A01,1,243,Cells,1.44650227486438
110000106828,A01,1,502,Cells,1.45038974586842
110000106828,A01,1,128,Cells,1.47799724986284
110000106828,A01,1,6,Cells,1.15911712112343
110000106828,A01,1,266,Cells,1.12073563259403
110000106828,A01,1,273,Cells,1.12769108660892
110000106828,A01,1,202,Cells,1.29209320375657
110000106828,A01,1,168,Cells,1.17984567773852
110000106828,A01,1,58,Cells,1.23209068613401
110000106828,A01,1,340,Cells,1.48753457420173
110000106828,A01,1,353,Cells,1.17100891196633
110000106828,A01,1,535,Cells,1.3725247038291
110000106828,A01,1,387,Cells,1.28353903473688
110000106828,A01,1,185,Cells,1.25851768116058
110000106828,A01,1,213,Cells,1.67238501893073
110000106828,A01,1,420,Cells,1.155934748009
110000106828,A01,1,109,Cells,1.17722830292959
110000106828,A01,1,67,Cells,1.68231655704622
110000106828,A01,1,249,Cells,1.34178902151254
110000106828,A01,1,364,Cells,1.18980068190919
110000106828,A01,1,60,Cells,1.1227629930163
110000106828,A01,1,81,Cells,1.54140813963929
110000106828,A01,1,152,Cells,1.20305125513503
110000106828,A01,1,323,Cells,1.13983102820882
110000106828,A01,1,479,Cells,1.29368757036315
110000106828,A01,1,398,Cells,1.07002185693308
110000106828,A01,1,444,Cells,1.52998896184229
110000106828,A01,1,277,Cells,1.15562211530986
110000106828,A01,1,237,Cells,1.11914390324032
110000106828,A01,1,522,Cells,1.21999047872678
110000106828,A01,1,355,Cells,1.32089745246239
110000106828,A01,1,296,Cells,1.16213315574611
110000106828,A01,1,13,Cells,1.33302318126421
110000106828,A01,1,514,Cells,1.26111239948546
110000106828,A01,1,229,Cells,2.30860115543958
110000106828,A01,1,43,Cells,2.51246222170971
110000106828,A01,1,402,Cells,1.7726762445122
110000106828,A01,1,10,Cells,1.14014354241376
110000106828,A01,1,503,Cells,1.06735149089507
110000106828,A01,1,200,Cells,1.04581486661262
110000106828,A01,1,461,Cells,1.33582367788943
110000106828,A01,1,293,Cells,1.50566290828339
110000106828,A01,1,37,Cells,1.15307806434884
110000106828,A01,1,96,Cells,1.44741547734259
110000106828,A01,1,86,Cells,1.18623021109192
110000106828,A01,1,47,Cells,1.18474651397071
110000106828,A01,1,305,Cells,1.78931496952825
110000106828,A01,1,3,Cells,1.07658585196225
110000106828,A01,1,9,Cells,1.7153013688571
110000106828,A01,1,139,Cells,1.53067192410331
110000106828,A01,2,451,Cells,1.12256176976237
110000106828,A01,2,26,Cells,1.29468932488315
110000106828,A01,2,69,Cells,1.07336567312122
110000106828,A01,2,564,Cells,1.80526335701158
110000106828,A01,2,144,Cells,1.22122935628026
110000106828,A01,2,28,Cells,1.16196839862364
110000106828,A01,2,35,Cells,1.62143582476162
110000106828,A01,2,424,Cells,1.56690589237482
110000106828,A01,2,262,Cells,1.58439928042098
110000106828,A01,2,223,Cells,1.11105046549255
110000106828,A01,2,82,Cells,1.67170306629054
110000106828,A01,2,20,Cells,1.0977092113908
110000106828,A01,2,507,Cells,1.20169910714628
110000106828,A01,2,547,Cells,1.59225116829994
110000106828,A01,2,120,Cells,1.42708307015214
110000106828,A01,2,306,Cells,1.14514714240621
110000106828,A01,2,165,Cells,1.19416725455408
110000106828,A01,2,226,Cells,1.35205586160042
110000106828,A01,2,139,Cells,1.18372621080768
110000106828,A01,2,90,Cells,1.30155280327068
110000106828,A01,2,50,Cells,1.07198594042
110000106828,A01,2,518,Cells,1.10768762447384
110000106828,A01,2,575,Cells,1.11845318337425
110000106828,A01,2,470,Cells,1.4351732009529
110000106828,A01,2,118,Cells,1.43384407214506
110000106828,A01,2,399,Cells,1.55712008872228
110000106828,A01,2,44,Cells,1.32558873524611
110000106828,A01,2,239,Cells,1.13485402117481
110000106828,A01,2,617,Cells,1.59387747239159
110000106828,A01,2,124,Cells,1.78929469634301
110000106828,A01,2,590,Cells,1.3094219568796
110000106828,A01,2,538,Cells,1.50080133148655
110000106828,A01,2,567,Cells,1.04999307841461
110000106828,A01,2,249,Cells,1.11897310548557
110000106828,A01,2,221,Cells,1.29934107126291
