plate_barcode,well_description,image_description,object_description,pattern_description,channel_description,Intensity_first_quartile,Intensity_integrated,Intensity_maximum,Intensity_mean,Intensity_median,Intensity_median_absolute_deviation,Intensity_minimum,Intensity_standard_deviation,Intensity_third_quartile
110000106828,A03,6,624,Cells,Alexa568,0.0553088956798456,0.239781458926877,-0.993906231737545,-0.710061438809233,-0.422351469398061,-0.647788435258851,-0.555814578925621,-1.06587098344698,-0.70884311013534
110000106828,A03,6,594,Cells,Alexa568,0.231391027901278,0.0130471823980534,-0.34368739048464,-0.432126624977787,-0.425567855502042,-0.775460684511277,0.2952141648568,-0.437933588456763,-0.635473540270982
110000106828,A03,6,202,Cells,Alexa568,1.2497186604194,-0.414166806064289,-0.646292794426532,0.189558782104966,0.518885072390332,0.295210275268253,-0.0706552890853026,-0.508724329451316,0.326591228606785
110000106828,A03,6,121,Cells,Alexa568,-0.406224632763936,-0.356584526386295,-0.364575861902511,-0.102009181282718,0.241270005941251,0.492421951674235,0.232833138109746,-0.485061781350435,0.209590269351315
110000106828,A03,6,41,Cells,Alexa568,-0.478334555746326,0.157727068766866,-0.0982413556273444,-0.473757964622622,-0.618075805802404,-0.715802062575953,0.315469801760856,-0.243995837707318,-0.505876294557391
110000106828,A03,6,740,Cells,Alexa568,-0.650796672937047,-0.893357108481726,-0.874508857596277,-0.790698942058308,-0.609178334229196,-0.669476292153852,-0.724771938424654,-0.757123494035732,-0.873097919517157
110000106828,A03,6,117,Cells,Alexa568,-1.47365589751749,-0.0883085121535365,-0.320601759054754,-0.94617742532562,-0.963549721386904,-0.827065290108107,-1.9123071498634,-0.416610685755365,-1.03720225831202
110000106828,A03,6,175,Cells,Alexa568,0.338209172950379,-1.27875461069279,-0.139080150650241,0.211288399800466,-0.00916297976293642,0.0560084660271306,0.109338269339699,0.144320504065275,0.432013825154049
110000106828,A03,6,416,Cells,Alexa568,-1.34138821161861,0.242061958500448,-0.800195312771645,-1.02122056921246,-0.828411522395427,-0.671684692142038,-0.67525353089189,-0.919811425763885,-0.95087384883319
110000106828,A03,6,196,Cells,Alexa568,0.0656633912258731,-1.30698154265603,-0.857575766181848,-0.29490721793219,0.00107682584450596,-0.00790419505459634,0.296877785011443,-0.741415183667904,-0.0186467552657547
