plate_barcode,well_description,image_description,object_description,pattern_description,channel_description,Intensity_first_quartile,Intensity_integrated,Intensity_maximum,Intensity_median,Intensity_minimum
110000106828,A01,1,476,Cells,Alexa568,0.00712913484312594,13.2982856744202,0.0822273641824722,0.0145907169207931,0.00120912806596607
110000106828,A01,1,383,Cells,Alexa568,0.00500843301415443,21.6960177530418,0.0953580364584923,0.0117907598614693,0.000530220335349441
110000106828,A01,1,413,Cells,Alexa568,0.00382035167422146,9.16976074187551,0.133107885718346,0.00907986937090754,0.000849128642585129
110000106828,A01,1,324,Cells,Alexa568,0.00361332186730578,7.50233120255871,0.0534395836293697,0.00498988898470998,0.000866749149281532
110000106828,A01,1,337,Cells,Alexa568,0.00463213492184877,8.91545898350887,0.0456826947629452,0.00699421903118491,0.000786670832894743
110000106828,A01,1,66,Cells,Alexa568,0.00302388169802725,7.88728613010608,0.0501616448163986,0.00498711154796183,0.000643029634375125
110000106828,A01,1,312,Cells,Alexa568,0.00329349696403369,10.1946666014555,0.0414467416703701,0.00560699380002916,0.000397109426558018
110000106828,A01,1,268,Cells,Alexa568,0.00568406563252211,12.907249517506,0.0500549897551537,0.00800443440675735,0.00104684301186353
110000106828,A01,1,236,Cells,Alexa568,0.0031038757879287,11.4587939388584,0.0522972196340561,0.00503743789158762,0.0005476851365529
110000106828,A01,1,486,Cells,Alexa568,0.00587511109188199,9.85141467885114,0.0581811033189297,0.0124124605208635,0.000936969532631338
110000106828,A01,1,445,Cells,Alexa568,0.00370418792590499,9.90687183570117,0.0481530539691448,0.00701944227330387,0.000661718950141221
110000106828,A01,1,299,Cells,Alexa568,0.00507851911243051,15.2796760198544,0.0490986704826355,0.00768723711371422,0.000898535654414445
110000106828,A01,1,456,Cells,Alexa568,0.0037021494936198,11.0936619499698,0.0539048053324223,0.00698068644851446,0.000708970590494573
110000106828,A01,1,125,Cells,Alexa568,0.00348108448088169,9.70854964188766,0.0692203193902969,0.00787409301847219,0.000625683343969286
110000106828,A01,1,474,Cells,Alexa568,0.00653632683679461,20.3492304482497,0.105367451906204,0.011788347736001,0.00103029562160373
110000106828,A01,1,310,Cells,Alexa568,0.00347290060017258,13.7307394437375,0.062134426087141,0.0064199510961771,0.000672884343657643
110000106828,A01,1,123,Cells,Alexa568,0.00483505404554307,7.73872190754628,0.0426214523613453,0.00772123550996184,0.0008106644381769
110000106828,A01,1,242,Cells,Alexa568,0.00303106306819245,16.1110552453902,0.0743034109473228,0.00682637467980385,0.00069265766069293
110000106828,A01,1,52,Cells,Alexa568,0.00240884069353342,6.7620171586168,0.0639158114790916,0.00532651413232088,0.00066212605452165
110000106828,A01,1,301,Cells,Alexa568,0.00275468674954027,9.44307578622829,0.0473266951739788,0.00570627953857183,0.000467568461317569
110000106828,A01,1,523,Cells,Alexa568,0.00250034249620512,14.7942402354092,0.0799335613846779,0.00561698316596448,0.00056703994050622
110000106828,A01,1,215,Cells,Alexa568,0.00346568151144311,10.4659041959967,0.0398616157472134,0.0061624355148524,0.000445086654508486
110000106828,A01,1,487,Cells,Alexa568,0.0195701350457966,21.513238066691,0.14908792078495,0.0717162825167179,0.00114083732478321
110000106828,A01,1,70,Cells,Alexa568,0.00324071344221011,8.72535994794453,0.0610229671001434,0.00590341445058584,0.000459986564237624
110000106828,A01,1,480,Cells,Alexa568,0.0028617997886613,26.1819015960209,0.112005241215229,0.00817727670073509,0.000603265187237412
110000106828,A01,1,190,Cells,Alexa568,0.00242559611797333,25.1468921325286,0.0575990304350853,0.00415621837601066,0.000589444185607135
110000106828,A01,1,126,Cells,Alexa568,0.00597599893808365,8.74465187720489,0.0761701539158821,0.00955679081380367,0.00100235233549029
110000106828,A01,1,77,Cells,Alexa568,0.00337974878493696,5.70279174629832,0.0402187556028366,0.00491830916143954,0.000684918079059571
110000106828,A01,1,481,Cells,Alexa568,0.0087224233429879,12.5952418067027,0.0751313418149948,0.0146214459091425,0.000374105526134372
110000106828,A01,1,122,Cells,Alexa568,0.00307769671780989,12.5745174099575,0.0478335246443748,0.00659295986406505,0.000642240338493139
110000106828,A01,1,482,Cells,Alexa568,0.00232700881315395,16.8043290194473,0.045427031815052,0.00468330876901746,0.000544550595805049
110000106828,A01,1,45,Cells,Alexa568,0.00433438131585717,7.90101884515025,0.0581285767257214,0.00707328505814075,0.000850921496748924
110000106828,A01,1,88,Cells,Alexa568,0.00253297155722976,14.7814662493183,0.0697737410664558,0.00806048978120089,0.000642755883745849
110000106828,A01,1,440,Cells,Alexa568,0.00327315903268754,16.8814694664325,0.073298268020153,0.00680575263686478,0.000825661700218916
110000106828,A01,1,466,Cells,Alexa568,0.0019563864916563,10.5099059975473,0.0554204657673836,0.00516874808818102,0.000746596953831613
110000106828,A01,1,162,Cells,Alexa568,0.00613795407116413,9.78844178386498,0.052692461758852,0.0148603175766766,0.000928957480937242
